,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
900873,39,2,-2,23,2,40,5,-2,2,2,-2,4,-2,1,-2,4,-2,5,-2,2,3,1,2,-2
900877,37,1,-2,45,9,125,3,0,6,2,0,4,7,2,-2,1,8,4,-2,1,7,1,2,-2
900878,39,1,1999,55,6,300,,,,,,,,,,,,,,,,,,4
900879,39,1,2000,24,2,115,,0,,,,,,,,,,,,,,,,-2
900885,39,1,2014,89,5,120,4,0,0,1,0,0,-3,3,-2,-29,6,,,,,,2,-2
900888,39,1,-2,52,4,240,5,0,3,1,2,1,11,2,-2,3,11,4,-2,0,4,1,3,4
900891,39,1,-2,69,6,180,4,-2,2,1,-2,,-2,,,,,,,,,,,-2
900892,39,1,-2,120,9,160,,,,2,1,,7,2,-2,0,6,,,,,,1,-2
900898,39,1,-2,149,9,120,5,0,1,1,0,4,12,1,-2,4,9,5,-2,2,10,1,2,2
900901,38,2,-2,31,4,-3,,0,,2,0,8,4,2,7,,5,4,3,0,6,1,7,-2
900907,39,1,1997,87,3,137,,,,,,,,,,,,,,,,,,-2
900915,38,1,2016,38,9,300,4,0,4,2,0,8,4,4,-2,6,6,,,,,,3,-2
900918,39,2,-2,61,4,50,4,0,2,3,0,6,7,2,-2,4,6,4,-2,0,6,2,6,-2
900919,39,2,-2,47,6,35,,0,,2,4,8,10,3,5,0,8,3,-2,3,6,-5,7,-2
900920,39,1,-2,49,6,110,4,0,4,2,0,2,5,1,-2,0,5,4,-2,0,5,2,3,1
900921,37,2,-2,70,9,0,4,-2,20,1,-2,12,-2,1,-2,12,-2,,,,,,2,2
900923,38,1,1994,58,4,140,4,-2,2,,,,,,,,,,,,,,,3
900928,39,1,-2,84,3,170,5,0,4,1,0,,6,,,,,,,,,,,2
900931,39,2,2019,55,3,13,,,,3,7,2,5,4,4,,6,,,,,,4,-2
900933,40,1,-2,32,4,190,,-2,,2,-2,1,-2,2,-2,2,-2,,,,,,2,-2
900935,39,1,2003,32,5,174,,,,,,,,,,,,,,,,,,-2
900942,39,1,-2,62,5,170,,-2,,1,0,4,7,3,-2,,8,5,-2,7,7,1,4,2
900943,39,1,-2,-3,5,30,,-2,,3,-2,1,-2,3,-2,0,-2,,,,,,3,4
900946,39,1,-2,8,3,100,,0,,3,0,1,4,3,-2,1,8,,,,,,3,-2
900948,40,2,-2,104,9,0,5,0,12,1,7,4,11,1,-2,8,8,4,-2,8,8,1,3,-2
900949,-3,1,-2,47,4,-3,,,,,,,,,,,,,,,,,,-3
900953,-3,1,-2,117,9,-3,,,,,,,,,,,,,,,,,,-3
900956,38,1,-2,73,3,120,4,-2,3,3,-2,3,-2,2,-2,0,-2,,,,,,0,-2
